"Species","Term","Term_raw","median","lower95","upper95","lower80","upper80"
"Black bear","Elevation","b_elevation_scaled",-0.470551408047543,-1.28525838028523,0.202919879591221,-0.978131519886956,-0.0285004637869748
"Black bear","NDVI","b_mean_ndvi_scaled",0.530713540771877,0.289729040562538,0.785419214403964,0.370248937090403,0.694971668752015
"Black bear","Proximity to trail","b_prox_trail_scaled",0.284813589596167,-0.41472903975238,0.99527080367068,-0.158725681421734,0.736364195616342
"Black bear","Trail × Recreation","b_prox_trail_scaled:rec_week_scaled",-0.109686844037879,-0.647881318691066,0.505672331615064,-0.46936106866062,0.287694243882171
"Black bear","Recreation Intensity","b_rec_week_scaled",0.702690792388655,0.251541344762974,1.11168295113107,0.412748607198988,0.972026477546106
"Grizzly bear","Elevation","b_elevation_scaled",0.0102783769383191,-0.606185680892881,0.672834233229265,-0.387379552380344,0.429942422866546
"Grizzly bear","NDVI","b_mean_ndvi_scaled",-0.298587579181834,-0.563958355947624,-0.0362758810281797,-0.474056522406609,-0.128070494623096
"Grizzly bear","Proximity to trail","b_prox_trail_scaled",3.14041474114359,1.50511769390806,5.46693135475177,1.9923253317564,4.59745987288274
"Grizzly bear","Trail × Recreation","b_prox_trail_scaled:rec_week_scaled",-0.303964746958058,-2.19661715878306,2.20181584147714,-1.59687692959773,1.28914399220953
"Grizzly bear","Recreation Intensity","b_rec_week_scaled",0.298131981960882,-1.43608322518909,1.62651295262132,-0.793972818261291,1.19276869188726
